DAQLog Data File v1.10
Device: LGR-5327
Serial No: 000001582675
Log Enable Time: 12.06.2025 13:33:04.000
Data Start Time: 12.06.2025 13:33:06.637
Trigger Time: 12.06.2025 13:33:06.887
Pre-Trigger Scan Count: 1000
Pre-Trigger Scan Rate(Hz): 4000
Post-Trigger Scan Count: 3000
Post-Trigger Scan Rate(Hz): 4000
Notes: 06.12.2025 Kantipark St. Gallen
8 feste Geophon-Positionen + 1 Trigger
Abstand wird während der Messung festgelegt
, , AI0Diff30V(Volts), AI1Diff30V(Volts), AI2Diff30V(Volts), AI3Diff30V(Volts), AI4Diff30V(Volts), AI5Diff30V(Volts), AI6Diff30V(Volts), AI7Diff30V(Volts)
Scan Number, Scan Time, , , , , , , , 
0, "13:33:06.636999", 0.02271, 0.00459, 0.00207, 0.04148, 0.01833, 0.01523, -0.00073, -0.34973
1, "13:33:06.637248", 0.02271, 0.00360, 0.00207, 0.04049, 0.01734, 0.01721, -0.00469, -0.34281
2, "13:33:06.637500", 0.02271, 0.00261, 0.00108, 0.04049, 0.01734, 0.01721, -0.00073, -0.32699
3, "13:33:06.637750", 0.02271, 0.00261, 0.00108, 0.03950, 0.01536, 0.01622, -0.00271, -0.33292
4, "13:33:06.637998", 0.02271, 0.00360, 0.00108, 0.03654, 0.01635, 0.02017, 0.00124, -0.30920
5, "13:33:06.638248", 0.02370, 0.00360, -0.00189, 0.03555, 0.01734, 0.01721, -0.00073, -0.32106
6, "13:33:06.638498", 0.02271, 0.00360, -0.00090, 0.03654, 0.01438, 0.01819, -0.00172, -0.32106
7, "13:33:06.638750", 0.02370, 0.00459, 0.00108, 0.03851, 0.01833, 0.01523, -0.00271, -0.32205
8, "13:33:06.638999", 0.02370, 0.00261, -0.00287, 0.03654, 0.01734, 0.01819, -0.00073, -0.31513
9, "13:33:06.639249", 0.02370, 0.00261, -0.00090, 0.03654, 0.01734, 0.01918, 0.00421, -0.30920
10, "13:33:06.639499", 0.02469, 0.00162, -0.00386, 0.03456, 0.01833, 0.01622, -0.00073, -0.30129
11, "13:33:06.639749", 0.02469, 0.00360, -0.00386, 0.03555, 0.02031, 0.01918, 0.00124, -0.30030
12, "13:33:06.639999", 0.02370, 0.00261, -0.00386, 0.03357, 0.01536, 0.01721, -0.00172, -0.29833
13, "13:33:06.640249", 0.02469, 0.00360, -0.00485, 0.03555, 0.01734, 0.01721, 0.00223, -0.30129
14, "13:33:06.640499", 0.02469, 0.00162, -0.00485, 0.03654, 0.01438, 0.01721, 0.00421, -0.29339
15, "13:33:06.640748", 0.02370, 0.00360, -0.00485, 0.03357, 0.01635, 0.01721, 0.00322, -0.28251
16, "13:33:06.640998", 0.02469, 0.00162, -0.00584, 0.03357, 0.01438, 0.01721, 0.00223, -0.28745
17, "13:33:06.641248", 0.02568, 0.00162, -0.00584, 0.03357, 0.01635, 0.01918, 0.00421, -0.28251
18, "13:33:06.641500", 0.02469, 0.00261, -0.00485, 0.03159, 0.01833, 0.01918, 0.00421, -0.28251
19, "13:33:06.641750", 0.02469, 0.00162, -0.00683, 0.03159, 0.01438, 0.01721, 0.00223, -0.29042
20, "13:33:06.642000", 0.02469, 0.00261, -0.00584, 0.03357, 0.01734, 0.01721, 0.00421, -0.28251
21, "13:33:06.642248", 0.02568, 0.00063, -0.00386, 0.03258, 0.01536, 0.01622, 0.00223, -0.27461
22, "13:33:06.642498", 0.02568, 0.00162, -0.00287, 0.03061, 0.01635, 0.01523, 0.00322, -0.26670
23, "13:33:06.642749", 0.02568, 0.00162, -0.00880, 0.03357, 0.01635, 0.01424, 0.00124, -0.26670
24, "13:33:06.642999", 0.02370, 0.00162, -0.00683, 0.03061, 0.01734, 0.01721, 0.00322, -0.26670
25, "13:33:06.643249", 0.02568, 0.00162, -0.00880, 0.03061, 0.01635, 0.01325, 0.00421, -0.24891
26, "13:33:06.643499", 0.02568, 0.00162, -0.00584, 0.03159, 0.01635, 0.01325, 0.00223, -0.25879
27, "13:33:06.643749", 0.02568, 0.00162, -0.00485, 0.03061, 0.01734, 0.01424, 0.00124, -0.24989
28, "13:33:06.643999", 0.02469, 0.00162, -0.00979, 0.03061, 0.01734, 0.01721, 0.00025, -0.26077
29, "13:33:06.644248", 0.02469, 0.00063, -0.00782, 0.02962, 0.01438, 0.01523, 0.00322, -0.24989
30, "13:33:06.644498", 0.02469, 0.00162, -0.00584, 0.02863, 0.01635, 0.01721, -0.00073, -0.25385
31, "13:33:06.644750", 0.02568, 0.00162, -0.00782, 0.02962, 0.01734, 0.01819, 0.00322, -0.23606
32, "13:33:06.644998", 0.02469, 0.00063, -0.00880, 0.02863, 0.01438, 0.01523, 0.00223, -0.24396
33, "13:33:06.645248", 0.02568, 0.00162, -0.01276, 0.02665, 0.01438, 0.01523, 0.00421, -0.24396
34, "13:33:06.645500", 0.02568, 0.00162, -0.00880, 0.03061, 0.01339, 0.01622, 0.00322, -0.24001
35, "13:33:06.645750", 0.02568, 0.00063, -0.01177, 0.02863, 0.01635, 0.01819, 0.00223, -0.24495
36, "13:33:06.645999", 0.02568, -0.00036, -0.01375, 0.02764, 0.01240, 0.01424, 0.00421, -0.23606
37, "13:33:06.646249", 0.02370, 0.00162, -0.01078, 0.02863, 0.01536, 0.01424, 0.00025, -0.24199
38, "13:33:06.646497", 0.02667, 0.00162, -0.00979, 0.02665, 0.01536, 0.01622, -0.00172, -0.22518
39, "13:33:06.646749", 0.02568, -0.00036, -0.00979, 0.02863, 0.01042, 0.01523, 0.00124, -0.23309
40, "13:33:06.646999", 0.02568, 0.00063, -0.00979, 0.02764, 0.01438, 0.01622, 0.00421, -0.23309
41, "13:33:06.647249", 0.02568, 0.00063, -0.01078, 0.02665, 0.01438, 0.01721, 0.00124, -0.23309
42, "13:33:06.647500", 0.02469, -0.00036, -0.00979, 0.02764, 0.01536, 0.01226, 0.00322, -0.24693
43, "13:33:06.647748", 0.02469, 0.00162, -0.01177, 0.02665, 0.01240, 0.01325, 0.00124, -0.24594
44, "13:33:06.647998", 0.02469, 0.00063, -0.01078, 0.02665, 0.01339, 0.01226, 0.00025, -0.24891
45, "13:33:06.648248", 0.02568, 0.00063, -0.01375, 0.02665, 0.01438, 0.01325, 0.00025, -0.24001
46, "13:33:06.648498", 0.02370, 0.00063, -0.01375, 0.02764, 0.01141, 0.01523, -0.00073, -0.24298
47, "13:33:06.648750", 0.02370, 0.00162, -0.01572, 0.02566, 0.01042, 0.01523, 0.00025, -0.24891
48, "13:33:06.649000", 0.02469, 0.00063, -0.01572, 0.02665, 0.01042, 0.01226, -0.00073, -0.23902
49, "13:33:06.649248", 0.02469, 0.00063, -0.01375, 0.02665, 0.00943, 0.01127, 0.00124, -0.26274
50, "13:33:06.649499", 0.02271, 0.00162, -0.01375, 0.02665, 0.01240, 0.01325, -0.00172, -0.26176
51, "13:33:06.649749", 0.02469, 0.00063, -0.01375, 0.02566, 0.01240, 0.01424, 0.00223, -0.23507
52, "13:33:06.649999", 0.02271, -0.00036, -0.01473, 0.02665, 0.01042, 0.01325, 0.00124, -0.23606
53, "13:33:06.650249", 0.02172, 0.00162, -0.01375, 0.02764, 0.01042, 0.01424, 0.00025, -0.24693
54, "13:33:06.650499", 0.02271, 0.00063, -0.01671, 0.02270, 0.00845, 0.01226, 0.00124, -0.23111
55, "13:33:06.650749", 0.02271, -0.00036, -0.01967, 0.02665, 0.00943, 0.01622, 0.00322, -0.23309
56, "13:33:06.650999", 0.02271, 0.00162, -0.01967, 0.02467, 0.00943, 0.01028, -0.00073, -0.22815
57, "13:33:06.651248", 0.02370, 0.00162, -0.01967, 0.02566, 0.00845, 0.01226, 0.00124, -0.23606
58, "13:33:06.651500", 0.02370, -0.00036, -0.02165, 0.02270, 0.00943, 0.01523, 0.00025, -0.22815
59, "13:33:06.651750", 0.02172, 0.00063, -0.02066, 0.02467, 0.00845, 0.01127, 0.00025, -0.21036
60, "13:33:06.651998", 0.02172, 0.00063, -0.02264, 0.02369, 0.00943, 0.01028, 0.00025, -0.21629
61, "13:33:06.652248", 0.02172, 0.00063, -0.02165, 0.02467, 0.00746, 0.01226, 0.00223, -0.21530
62, "13:33:06.652498", 0.02172, 0.00063, -0.02264, 0.02072, 0.00943, 0.01028, -0.00073, -0.21135
63, "13:33:06.652750", 0.02271, 0.00162, -0.02165, 0.01973, 0.00647, 0.01127, -0.00073, -0.21135
64, "13:33:06.652999", 0.02172, 0.00162, -0.02462, 0.02369, 0.00746, 0.01424, 0.00124, -0.20640
65, "13:33:06.653249", 0.02271, 0.00162, -0.02363, 0.02171, 0.00548, 0.01325, -0.00073, -0.19850
66, "13:33:06.653499", 0.02172, 0.00261, -0.02363, 0.01874, 0.00746, 0.01226, -0.00073, -0.19948
67, "13:33:06.653749", 0.02271, 0.00162, -0.02659, 0.02072, 0.00647, 0.01325, 0.00124, -0.19850
68, "13:33:06.653999", 0.02172, 0.00261, -0.02264, 0.01973, 0.00647, 0.01325, -0.00073, -0.19158
69, "13:33:06.654249", 0.02271, 0.00063, -0.02560, 0.01973, 0.00548, 0.01325, -0.00073, -0.17873
70, "13:33:06.654499", 0.02271, 0.00162, -0.02462, 0.02270, 0.00647, 0.00930, 0.00025, -0.18960
71, "13:33:06.654748", 0.02074, 0.00162, -0.02758, 0.01973, 0.00746, 0.01325, 0.00025, -0.18367
72, "13:33:06.654998", 0.02271, 0.00162, -0.02857, 0.01874, 0.00548, 0.01127, 0.00421, -0.18070
73, "13:33:06.655248", 0.02271, 0.00261, -0.02560, 0.01776, 0.00746, 0.01325, 0.00025, -0.16884
74, "13:33:06.655500", 0.02172, 0.00261, -0.02758, 0.01874, 0.00548, 0.00930, 0.00223, -0.16983
75, "13:33:06.655750", 0.02271, 0.00261, -0.02659, 0.01776, 0.00548, 0.01127, 0.00421, -0.16687
76, "13:33:06.656000", 0.02271, 0.00261, -0.02659, 0.01776, 0.00746, 0.01424, 0.00520, -0.15995
77, "13:33:06.656248", 0.02074, 0.00261, -0.02659, 0.01776, 0.00350, 0.01028, 0.00124, -0.16588
78, "13:33:06.656497", 0.02271, 0.00162, -0.02956, 0.01578, 0.00647, 0.01226, 0.00717, -0.15501
79, "13:33:06.656749", 0.02271, 0.00261, -0.02560, 0.01479, 0.00548, 0.01028, 0.00421, -0.15797
80, "13:33:06.656999", 0.02172, 0.00063, -0.02659, 0.01677, 0.00548, 0.00930, 0.00223, -0.14611
81, "13:33:06.657249", 0.02172, 0.00360, -0.02462, 0.01578, 0.00647, 0.01226, 0.00421, -0.14710
