DAQLog Data File v1.10
Device: LGR-5327
Serial No: 000001582675
Log Enable Time: 12.06.2025 13:45:05.000
Data Start Time: 12.06.2025 13:45:06.768
Trigger Time: 12.06.2025 13:45:07.018
Pre-Trigger Scan Count: 1000
Pre-Trigger Scan Rate(Hz): 4000
Post-Trigger Scan Count: 3000
Post-Trigger Scan Rate(Hz): 4000
Notes: 06.12.2025 Kantipark St. Gallen
8 feste Geophon-Positionen + 1 Trigger
Abstand wird während der Messung festgelegt
, , AI0Diff30V(Volts), AI1Diff30V(Volts), AI2Diff30V(Volts), AI3Diff30V(Volts), AI4Diff30V(Volts), AI5Diff30V(Volts), AI6Diff30V(Volts), AI7Diff30V(Volts)
Scan Number, Scan Time, , , , , , , , 
0, "13:45:06.767999", -0.27080, -0.00530, -0.01276, 0.01281, -0.01725, 0.02709, 0.03089, 0.01402
1, "13:45:06.768249", -0.27278, -0.00431, -0.01177, 0.01380, -0.01528, 0.02610, 0.02990, 0.01500
2, "13:45:06.768499", -0.28859, -0.00629, -0.01177, 0.01380, -0.01627, 0.02610, 0.02990, 0.01303
3, "13:45:06.768749", -0.28958, -0.00827, -0.01276, 0.01380, -0.01824, 0.02512, 0.02891, 0.01599
4, "13:45:06.768999", -0.29452, -0.00728, -0.01671, 0.01084, -0.01824, 0.02610, 0.02990, 0.01402
5, "13:45:06.769248", -0.28958, -0.00629, -0.01473, 0.01281, -0.01923, 0.02512, 0.03089, 0.01599
6, "13:45:06.769500", -0.29650, -0.00926, -0.01770, 0.01578, -0.02121, 0.02610, 0.02891, 0.01500
7, "13:45:06.769750", -0.29749, -0.01025, -0.01770, 0.01380, -0.02220, 0.02709, 0.02990, 0.01500
8, "13:45:06.769998", -0.29946, -0.00926, -0.01869, 0.00985, -0.02220, 0.02512, 0.02990, 0.01303
9, "13:45:06.770248", -0.30638, -0.01420, -0.01770, 0.01182, -0.02417, 0.02709, 0.02990, 0.01500
