DAQLog Data File v1.10
Device: LGR-5327
Serial No: 000001582675
Log Enable Time: 12.06.2025 13:33:00.000
Data Start Time: 12.06.2025 13:33:02.326
Trigger Time: 12.06.2025 13:33:02.576
Pre-Trigger Scan Count: 1000
Pre-Trigger Scan Rate(Hz): 4000
Post-Trigger Scan Count: 3000
Post-Trigger Scan Rate(Hz): 4000
Notes: 06.12.2025 Kantipark St. Gallen
8 feste Geophon-Positionen + 1 Trigger
Abstand wird während der Messung festgelegt
, , AI0Diff30V(Volts), AI1Diff30V(Volts), AI2Diff30V(Volts), AI3Diff30V(Volts), AI4Diff30V(Volts), AI5Diff30V(Volts), AI6Diff30V(Volts), AI7Diff30V(Volts)
Scan Number, Scan Time, , , , , , , , 
0, "13:33:02.326000", 0.02370, 0.00261, -0.01572, 0.04148, 0.02426, 0.03105, 0.02496, -0.07000
1, "13:33:02.326248", 0.02271, 0.00261, -0.01572, 0.03851, 0.02426, 0.03204, 0.02595, -0.06901
2, "13:33:02.326498", 0.02370, 0.00360, -0.01473, 0.03851, 0.02624, 0.02907, 0.02397, -0.07000
3, "13:33:02.326749", 0.02271, 0.00360, -0.01572, 0.04148, 0.02525, 0.03105, 0.02397, -0.06901
4, "13:33:02.326999", 0.02172, 0.00162, -0.01375, 0.04148, 0.02624, 0.03204, 0.02397, -0.08186
5, "13:33:02.327249", 0.02370, 0.00261, -0.01473, 0.03950, 0.02525, 0.02907, 0.02496, -0.07198
6, "13:33:02.327499", 0.02172, 0.00162, -0.01276, 0.04148, 0.02624, 0.03303, 0.02496, -0.07099
7, "13:33:02.327749", 0.02172, 0.00261, -0.01177, 0.04049, 0.02426, 0.03006, 0.02298, -0.07791
8, "13:33:02.327999", 0.02370, 0.00162, -0.01375, 0.04049, 0.02525, 0.02907, 0.02397, -0.06901
9, "13:33:02.328248", 0.02469, 0.00261, -0.01177, 0.03851, 0.02426, 0.03105, 0.02595, -0.08680
10, "13:33:02.328498", 0.02172, 0.00162, -0.01375, 0.03950, 0.02228, 0.03401, 0.02298, -0.08087
11, "13:33:02.328750", 0.02370, 0.00162, -0.01375, 0.04049, 0.02525, 0.03105, 0.02496, -0.08483
12, "13:33:02.328998", 0.02271, 0.00063, -0.01375, 0.03950, 0.02426, 0.03105, 0.02496, -0.09175
13, "13:33:02.329248", 0.02271, 0.00162, -0.01078, 0.03851, 0.02525, 0.03204, 0.02200, -0.06901
14, "13:33:02.329500", 0.02271, 0.00162, -0.01078, 0.04148, 0.02624, 0.03204, 0.02200, -0.08977
15, "13:33:02.329750", 0.02370, 0.00162, -0.01177, 0.04148, 0.02426, 0.03006, 0.02496, -0.08483
16, "13:33:02.329999", 0.02271, 0.00261, -0.01177, 0.03950, 0.02525, 0.03105, 0.02397, -0.08680
17, "13:33:02.330249", 0.02271, 0.00261, -0.01078, 0.03950, 0.02723, 0.03105, 0.02496, -0.08483
18, "13:33:02.330497", 0.02172, 0.00162, -0.00880, 0.04148, 0.02426, 0.03500, 0.02397, -0.08483
19, "13:33:02.330749", 0.02271, 0.00261, -0.00979, 0.04049, 0.02525, 0.03303, 0.02496, -0.09669
20, "13:33:02.330999", 0.02271, 0.00162, -0.00880, 0.04049, 0.02821, 0.03204, 0.02694, -0.09076
21, "13:33:02.331249", 0.02271, 0.00261, -0.00979, 0.04247, 0.02723, 0.03105, 0.02200, -0.10064
22, "13:33:02.331501", 0.02271, 0.00261, -0.01177, 0.04444, 0.02426, 0.03401, 0.02397, -0.09273
23, "13:33:02.331748", 0.02271, 0.00162, -0.00979, 0.04247, 0.02624, 0.03303, 0.02200, -0.09570
24, "13:33:02.331998", 0.02370, 0.00162, -0.00880, 0.03950, 0.02426, 0.03401, 0.02101, -0.10064
25, "13:33:02.332248", 0.02370, 0.00162, -0.01078, 0.03950, 0.02426, 0.03303, 0.02200, -0.09372
26, "13:33:02.332498", 0.02271, 0.00162, -0.00979, 0.04049, 0.02624, 0.03303, 0.02496, -0.11053
27, "13:33:02.332750", 0.02370, 0.00162, -0.01078, 0.04049, 0.02723, 0.03401, 0.02298, -0.09570
28, "13:33:02.333000", 0.02271, 0.00261, -0.01177, 0.03950, 0.02525, 0.03303, 0.02397, -0.10657
29, "13:33:02.333248", 0.02469, 0.00162, -0.01078, 0.03654, 0.02821, 0.03303, 0.02200, -0.10657
30, "13:33:02.333499", 0.02568, 0.00162, -0.00979, 0.03851, 0.02723, 0.03599, 0.02496, -0.09669
31, "13:33:02.333749", 0.02370, 0.00162, -0.00979, 0.03950, 0.02821, 0.03500, 0.02397, -0.09768
