DAQLog Data File v1.10
Device: LGR-5327
Serial No: 000001582675
Log Enable Time: 12.06.2025 13:46:17.000
Data Start Time: 12.06.2025 13:46:18.704
Trigger Time: 12.06.2025 13:46:18.954
Pre-Trigger Scan Count: 1000
Pre-Trigger Scan Rate(Hz): 4000
Post-Trigger Scan Count: 3000
Post-Trigger Scan Rate(Hz): 4000
Notes: 06.12.2025 Kantipark St. Gallen
8 feste Geophon-Positionen + 1 Trigger
Abstand wird während der Messung festgelegt
, , AI0Diff30V(Volts), AI1Diff30V(Volts), AI2Diff30V(Volts), AI3Diff30V(Volts), AI4Diff30V(Volts), AI5Diff30V(Volts), AI6Diff30V(Volts), AI7Diff30V(Volts)
Scan Number, Scan Time, , , , , , , , 
0, "13:46:18.703998", 0.06718, -0.04288, 0.00108, 0.04247, 0.01833, 0.02116, 0.02002, 0.01599
1, "13:46:18.704248", 0.05928, -0.03793, 0.00009, 0.04247, 0.01635, 0.02512, 0.02101, 0.01698
2, "13:46:18.704498", 0.05533, -0.03892, -0.00090, 0.04148, 0.01932, 0.02314, 0.02002, 0.01599
3, "13:46:18.704750", 0.05533, -0.04485, -0.00189, 0.04049, 0.01932, 0.02116, 0.02101, 0.01599
4, "13:46:18.704999", 0.05533, -0.04288, -0.00090, 0.04148, 0.01635, 0.02512, 0.02101, 0.01599
5, "13:46:18.705249", 0.05335, -0.04090, -0.00090, 0.04049, 0.01932, 0.02413, 0.02397, 0.01698
6, "13:46:18.705499", 0.05829, -0.04980, 0.00207, 0.03950, 0.01833, 0.02314, 0.02298, 0.01698
7, "13:46:18.705749", 0.05533, -0.03398, 0.00009, 0.03851, 0.02327, 0.02610, 0.02002, 0.01599
8, "13:46:18.705999", 0.06718, -0.04584, -0.00189, 0.04049, 0.02031, 0.02610, 0.01804, 0.01698
9, "13:46:18.706249", 0.05137, -0.03793, 0.00207, 0.04148, 0.02228, 0.02512, 0.01903, 0.01599
10, "13:46:18.706499", 0.06323, -0.04683, -0.00189, 0.04148, 0.01932, 0.02610, 0.02002, 0.01599
11, "13:46:18.706748", 0.06224, -0.05573, -0.00090, 0.04148, 0.02129, 0.02512, 0.02200, 0.01698
