DAQLog Data File v1.10
Device: LGR-5327
Serial No: 000001582675
Log Enable Time: 12.06.2025 13:24:03.000
Data Start Time: 12.06.2025 13:24:05.226
Trigger Time: 12.06.2025 13:24:05.476
Pre-Trigger Scan Count: 1000
Pre-Trigger Scan Rate(Hz): 4000
Post-Trigger Scan Count: 3000
Post-Trigger Scan Rate(Hz): 4000
Notes: 06.12.2025 Kantipark St. Gallen
8 feste Geophon-Positionen + 1 Trigger
Abstand wird während der Messung festgelegt
, , AI0Diff30V(Volts), AI1Diff30V(Volts), AI2Diff30V(Volts), AI3Diff30V(Volts), AI4Diff30V(Volts), AI5Diff30V(Volts), AI6Diff30V(Volts), AI7Diff30V(Volts)
Scan Number, Scan Time, , , , , , , , 
0, "13:24:05.225999", 0.02271, 0.00459, -0.03746, 0.03456, 0.01240, 0.01819, 0.00618, -0.24891
1, "13:24:05.226249", 0.02172, 0.00360, -0.03845, 0.03753, 0.01240, 0.01918, 0.00618, -0.24001
2, "13:24:05.226497", 0.02271, 0.00360, -0.03944, 0.03851, 0.00943, 0.01819, 0.00520, -0.24495
3, "13:24:05.226749", 0.02271, 0.00261, -0.03746, 0.03456, 0.01141, 0.01918, 0.00520, -0.24891
4, "13:24:05.226999", 0.02370, 0.00261, -0.04142, 0.03654, 0.01042, 0.01819, 0.00322, -0.26373
5, "13:24:05.227249", 0.02271, 0.00261, -0.03845, 0.03555, 0.01042, 0.01918, 0.00618, -0.24693
6, "13:24:05.227500", 0.02271, 0.00261, -0.03746, 0.03555, 0.01141, 0.01819, 0.00124, -0.24396
7, "13:24:05.227748", 0.02370, 0.00360, -0.04142, 0.03555, 0.00943, 0.01819, 0.00520, -0.24693
8, "13:24:05.227998", 0.02370, 0.00261, -0.03845, 0.03456, 0.01042, 0.01819, 0.00717, -0.23309
9, "13:24:05.228248", 0.02370, 0.00261, -0.03845, 0.03753, 0.01141, 0.01819, 0.00421, -0.24298
10, "13:24:05.228498", 0.02469, 0.00261, -0.04043, 0.03456, 0.01042, 0.01918, 0.00421, -0.23902
