DAQLog Data File v1.10
Device: LGR-5327
Serial No: 000001582675
Log Enable Time: 12.06.2025 13:34:19.000
Data Start Time: 12.06.2025 13:34:21.356
Trigger Time: 12.06.2025 13:34:21.606
Pre-Trigger Scan Count: 1000
Pre-Trigger Scan Rate(Hz): 4000
Post-Trigger Scan Count: 3000
Post-Trigger Scan Rate(Hz): 4000
Notes: 06.12.2025 Kantipark St. Gallen
8 feste Geophon-Positionen + 1 Trigger
Abstand wird während der Messung festgelegt
, , AI0Diff30V(Volts), AI1Diff30V(Volts), AI2Diff30V(Volts), AI3Diff30V(Volts), AI4Diff30V(Volts), AI5Diff30V(Volts), AI6Diff30V(Volts), AI7Diff30V(Volts)
Scan Number, Scan Time, , , , , , , , 
0, "13:34:21.355998", 0.02370, 0.00063, -0.01276, 0.03851, 0.02129, 0.02116, 0.01310, 0.00216
1, "13:34:21.356248", 0.02271, 0.00261, -0.01375, 0.03654, 0.02031, 0.02017, 0.01607, 0.00216
2, "13:34:21.356498", 0.02370, 0.00261, -0.01473, 0.03753, 0.01734, 0.02116, 0.01409, 0.00216
3, "13:34:21.356750", 0.02172, 0.00162, -0.01572, 0.03753, 0.01833, 0.02413, 0.01211, 0.00117
4, "13:34:21.356998", 0.02172, 0.00162, -0.01375, 0.03950, 0.01932, 0.02017, 0.01705, 0.00018
5, "13:34:21.357248", 0.02271, 0.00162, -0.01375, 0.03851, 0.01536, 0.02017, 0.01508, -0.00378
6, "13:34:21.357500", 0.02370, 0.00162, -0.01473, 0.03753, 0.01734, 0.01918, 0.01705, 0.00216
7, "13:34:21.357749", 0.02172, 0.00162, -0.01473, 0.03654, 0.02031, 0.02512, 0.01508, 0.00117
8, "13:34:21.357999", 0.02271, 0.00162, -0.01473, 0.03950, 0.01635, 0.02215, 0.01409, -0.00081
9, "13:34:21.358249", 0.02172, 0.00261, -0.01375, 0.03654, 0.01635, 0.02512, 0.01508, 0.00314
10, "13:34:21.358499", 0.02172, 0.00063, -0.01473, 0.03950, 0.01635, 0.02610, 0.01607, -0.00081
11, "13:34:21.358749", 0.02074, 0.00261, -0.01375, 0.03851, 0.01635, 0.02413, 0.01607, 0.00117
12, "13:34:21.358999", 0.02074, -0.00036, -0.01276, 0.03654, 0.01536, 0.02610, 0.01409, 0.00018
13, "13:34:21.359249", 0.02370, 0.00162, -0.01276, 0.03753, 0.01536, 0.02610, 0.01508, 0.00018
14, "13:34:21.359500", 0.02074, 0.00261, -0.01375, 0.03654, 0.01438, 0.02413, 0.01804, 0.00216
15, "13:34:21.359748", 0.02172, 0.00063, -0.01375, 0.03753, 0.01438, 0.02512, 0.01508, 0.00117
16, "13:34:21.359998", 0.02271, 0.00162, -0.01473, 0.03851, 0.01635, 0.02709, 0.01607, 0.00314
17, "13:34:21.360248", 0.02172, 0.00162, -0.01375, 0.03851, 0.01339, 0.02413, 0.01409, 0.00117
18, "13:34:21.360498", 0.02271, 0.00162, -0.01473, 0.03851, 0.01536, 0.02709, 0.01508, 0.00018
19, "13:34:21.360750", 0.02172, 0.00063, -0.01473, 0.03753, 0.01536, 0.02512, 0.01508, 0.00216
20, "13:34:21.361000", 0.02074, 0.00261, -0.01375, 0.03753, 0.01339, 0.02413, 0.01804, 0.00018
21, "13:34:21.361249", 0.02172, 0.00162, -0.01473, 0.03753, 0.01536, 0.02512, 0.01508, 0.00018
22, "13:34:21.361499", 0.02074, 0.00162, -0.01375, 0.03753, 0.01438, 0.02512, 0.01607, 0.00216
23, "13:34:21.361749", 0.02074, 0.00261, -0.01375, 0.03357, 0.01339, 0.02709, 0.01804, -0.00081
24, "13:34:21.361999", 0.02172, 0.00063, -0.01473, 0.03555, 0.01339, 0.02610, 0.01409, 0.00018
25, "13:34:21.362249", 0.02074, 0.00162, -0.01473, 0.03456, 0.01536, 0.02413, 0.01804, 0.00216
26, "13:34:21.362499", 0.01975, 0.00261, -0.01375, 0.03753, 0.01438, 0.02610, 0.01804, 0.00216
27, "13:34:21.362749", 0.02172, 0.00261, -0.01375, 0.03456, 0.01240, 0.02709, 0.01607, 0.00216
28, "13:34:21.362998", 0.01975, 0.00261, -0.01375, 0.03654, 0.01635, 0.02512, 0.01705, 0.00018
29, "13:34:21.363248", 0.01975, 0.00162, -0.01473, 0.03555, 0.01240, 0.02610, 0.01705, 0.00216
30, "13:34:21.363500", 0.01975, 0.00261, -0.01375, 0.03357, 0.01438, 0.02413, 0.01804, 0.00216
31, "13:34:21.363750", 0.02074, 0.00162, -0.01375, 0.03555, 0.01339, 0.02512, 0.01409, 0.00512
32, "13:34:21.364000", 0.02074, 0.00261, -0.01473, 0.03654, 0.01438, 0.02512, 0.01607, 0.00314
33, "13:34:21.364248", 0.02074, 0.00360, -0.01473, 0.03456, 0.01932, 0.02215, 0.01607, 0.00314
34, "13:34:21.364498", 0.02172, 0.00162, -0.01375, 0.03555, 0.01734, 0.02808, 0.01409, 0.00314
35, "13:34:21.364749", 0.02172, 0.00360, -0.01375, 0.03159, 0.01536, 0.02610, 0.01607, 0.00413
36, "13:34:21.364999", 0.02074, 0.00261, -0.01473, 0.03357, 0.01635, 0.02610, 0.01409, 0.00512
37, "13:34:21.365249", 0.02074, 0.00162, -0.01276, 0.03159, 0.01635, 0.02512, 0.01804, 0.00512
38, "13:34:21.365499", 0.02172, 0.00261, -0.01473, 0.03357, 0.01932, 0.02610, 0.01903, 0.00809
39, "13:34:21.365749", 0.02172, 0.00162, -0.01375, 0.03357, 0.01833, 0.02709, 0.01508, 0.00314
40, "13:34:21.365999", 0.02271, 0.00162, -0.01572, 0.03258, 0.02031, 0.02610, 0.01607, 0.00117
41, "13:34:21.366249", 0.02172, 0.00063, -0.01473, 0.03357, 0.01932, 0.02709, 0.01903, 0.00413
42, "13:34:21.366498", 0.02172, 0.00360, -0.01473, 0.03258, 0.01833, 0.02808, 0.01607, 0.00611
43, "13:34:21.366750", 0.02172, 0.00261, -0.01375, 0.03258, 0.02129, 0.02709, 0.01705, 0.00611
44, "13:34:21.366998", 0.02172, 0.00261, -0.01375, 0.03555, 0.02031, 0.02709, 0.01508, 0.00512
45, "13:34:21.367248", 0.02271, 0.00360, -0.01375, 0.03555, 0.01833, 0.02907, 0.01705, 0.00314
46, "13:34:21.367500", 0.02271, 0.00261, -0.01375, 0.03357, 0.01932, 0.02610, 0.01409, 0.00314
47, "13:34:21.367750", 0.02271, 0.00261, -0.01375, 0.03555, 0.01932, 0.02512, 0.01607, 0.00710
48, "13:34:21.368000", 0.02271, 0.00360, -0.01375, 0.03456, 0.02031, 0.02709, 0.01705, 0.00512
49, "13:34:21.368249", 0.02271, 0.00360, -0.01473, 0.03357, 0.02031, 0.02709, 0.01607, 0.00512
50, "13:34:21.368497", 0.02172, 0.00162, -0.01375, 0.03456, 0.02031, 0.02709, 0.01409, 0.00512
51, "13:34:21.368749", 0.02271, 0.00162, -0.01375, 0.03357, 0.02129, 0.02808, 0.01310, 0.00512
52, "13:34:21.368999", 0.02370, 0.00261, -0.01473, 0.03357, 0.02327, 0.02709, 0.01508, 0.00611
53, "13:34:21.369249", 0.02370, 0.00360, -0.01375, 0.03258, 0.02228, 0.02610, 0.01409, 0.00314
54, "13:34:21.369501", 0.02370, 0.00360, -0.01375, 0.03258, 0.02129, 0.02610, 0.01310, 0.00809
55, "13:34:21.369749", 0.02469, 0.00261, -0.01375, 0.03357, 0.02129, 0.02512, 0.01310, 0.00512
56, "13:34:21.369998", 0.02370, 0.00162, -0.01473, 0.03061, 0.02228, 0.02610, 0.01705, 0.00611
57, "13:34:21.370248", 0.02469, 0.00261, -0.01473, 0.03357, 0.02129, 0.02709, 0.01508, 0.00117
58, "13:34:21.370498", 0.02271, 0.00360, -0.01473, 0.03456, 0.02327, 0.02512, 0.01310, 0.00413
59, "13:34:21.370750", 0.02370, 0.00162, -0.01375, 0.03456, 0.02031, 0.02709, 0.01211, 0.00413
60, "13:34:21.371000", 0.02568, 0.00261, -0.01276, 0.03357, 0.02031, 0.02610, 0.01310, 0.00413
61, "13:34:21.371248", 0.02271, 0.00261, -0.01375, 0.03258, 0.01833, 0.02610, 0.01705, 0.00216
62, "13:34:21.371500", 0.02568, 0.00261, -0.01375, 0.03159, 0.02031, 0.02610, 0.01409, 0.00314
63, "13:34:21.371749", 0.02568, 0.00360, -0.01375, 0.03555, 0.01932, 0.02709, 0.01409, 0.00413
64, "13:34:21.371999", 0.02568, 0.00360, -0.01375, 0.03159, 0.02031, 0.02610, 0.01211, 0.00216
65, "13:34:21.372249", 0.02568, 0.00261, -0.01473, 0.03159, 0.01635, 0.02413, 0.01409, 0.00512
66, "13:34:21.372499", 0.02568, 0.00162, -0.01375, 0.03357, 0.01635, 0.02413, 0.01310, 0.00413
67, "13:34:21.372749", 0.02469, 0.00261, -0.01473, 0.03357, 0.01734, 0.02413, 0.01310, 0.00018
68, "13:34:21.372999", 0.02469, 0.00162, -0.01375, 0.03258, 0.01536, 0.02314, 0.01310, 0.00314
69, "13:34:21.373249", 0.02568, 0.00261, -0.01375, 0.03456, 0.01635, 0.02413, 0.01310, 0.00216
70, "13:34:21.373500", 0.02469, 0.00261, -0.01473, 0.03258, 0.01339, 0.02610, 0.01310, 0.00117
71, "13:34:21.373750", 0.02469, 0.00261, -0.01572, 0.03159, 0.01635, 0.02709, 0.01211, 0.00117
72, "13:34:21.373998", 0.02568, 0.00261, -0.01473, 0.03456, 0.01536, 0.02413, 0.01310, 0.00413
73, "13:34:21.374248", 0.02568, 0.00162, -0.01276, 0.03159, 0.01635, 0.02512, 0.01211, -0.00081
74, "13:34:21.374498", 0.02469, 0.00459, -0.01473, 0.03555, 0.01438, 0.02512, 0.01211, -0.00081
75, "13:34:21.374750", 0.02667, 0.00261, -0.01375, 0.03555, 0.01734, 0.02610, 0.01409, 0.00018
