DAQLog Data File v1.10
Device: LGR-5327
Serial No: 000001582675
Log Enable Time: 12.06.2025 13:41:29.000
Data Start Time: 12.06.2025 13:41:31.462
Trigger Time: 12.06.2025 13:41:31.712
Pre-Trigger Scan Count: 1000
Pre-Trigger Scan Rate(Hz): 4000
Post-Trigger Scan Count: 3000
Post-Trigger Scan Rate(Hz): 4000
Notes: 06.12.2025 Kantipark St. Gallen
8 feste Geophon-Positionen + 1 Trigger
Abstand wird während der Messung festgelegt
, , AI0Diff30V(Volts), AI1Diff30V(Volts), AI2Diff30V(Volts), AI3Diff30V(Volts), AI4Diff30V(Volts), AI5Diff30V(Volts), AI6Diff30V(Volts), AI7Diff30V(Volts)
Scan Number, Scan Time, , , , , , , , 
0, "13:41:31.461999", 0.00196, -0.02508, -0.01671, 0.02962, 0.02129, 0.02709, 0.03385, 0.01698
1, "13:41:31.462249", 0.00196, -0.02706, -0.01770, 0.03159, 0.02031, 0.03006, 0.03287, 0.01797
2, "13:41:31.462497", 0.00196, -0.02211, -0.01473, 0.03061, 0.01833, 0.02907, 0.03385, 0.01500
3, "13:41:31.462749", 0.00097, -0.02607, -0.01572, 0.02863, 0.02031, 0.02709, 0.03385, 0.01698
4, "13:41:31.462999", 0.00295, -0.02310, -0.01671, 0.03159, 0.01932, 0.03006, 0.03385, 0.01698
5, "13:41:31.463249", 0.00394, -0.02211, -0.01276, 0.03159, 0.01833, 0.02808, 0.03385, 0.01599
6, "13:41:31.463500", 0.00394, -0.02409, -0.01375, 0.03061, 0.01932, 0.02907, 0.03287, 0.01599
7, "13:41:31.463748", 0.00591, -0.02607, -0.01572, 0.03061, 0.02129, 0.02808, 0.03484, 0.01599
8, "13:41:31.463998", 0.00492, -0.02409, -0.01671, 0.03258, 0.02031, 0.02907, 0.03287, 0.01599
9, "13:41:31.464248", 0.00690, -0.02211, -0.01572, 0.03258, 0.01932, 0.02907, 0.03385, 0.01797
10, "13:41:31.464498", 0.00492, -0.02310, -0.01276, 0.03159, 0.02031, 0.02907, 0.03385, 0.01599
11, "13:41:31.464750", 0.00690, -0.02310, -0.01375, 0.03061, 0.01932, 0.02907, 0.03484, 0.01599
12, "13:41:31.465000", 0.00591, -0.02409, -0.01473, 0.03159, 0.01932, 0.03006, 0.03385, 0.01599
13, "13:41:31.465248", 0.00492, -0.02112, -0.01473, 0.03061, 0.02129, 0.02907, 0.03287, 0.01698
14, "13:41:31.465499", 0.00591, -0.02211, -0.01276, 0.03159, 0.02031, 0.02808, 0.03385, 0.01698
15, "13:41:31.465749", 0.00690, -0.02112, -0.01375, 0.03258, 0.02031, 0.03006, 0.03287, 0.01599
16, "13:41:31.465999", 0.00690, -0.02112, -0.01375, 0.03159, 0.02129, 0.02907, 0.03287, 0.01698
17, "13:41:31.466249", 0.00987, -0.02112, -0.01177, 0.03061, 0.02031, 0.02808, 0.03385, 0.01698
18, "13:41:31.466499", 0.00789, -0.02211, -0.01078, 0.03159, 0.01932, 0.02907, 0.03385, 0.01797
19, "13:41:31.466749", 0.00789, -0.02211, -0.01375, 0.03159, 0.02031, 0.03006, 0.03385, 0.01797
20, "13:41:31.466999", 0.00987, -0.02013, -0.01375, 0.03159, 0.02129, 0.02808, 0.03385, 0.01698
21, "13:41:31.467248", 0.00690, -0.02013, -0.00880, 0.03258, 0.01932, 0.03006, 0.03385, 0.01797
22, "13:41:31.467500", 0.00987, -0.01816, -0.00979, 0.03258, 0.02031, 0.02907, 0.03385, 0.01698
23, "13:41:31.467750", 0.00987, -0.01816, -0.01276, 0.03061, 0.02031, 0.02907, 0.03287, 0.01698
24, "13:41:31.467998", 0.00888, -0.02013, -0.01177, 0.03159, 0.02031, 0.02907, 0.03385, 0.01698
25, "13:41:31.468248", 0.01184, -0.02013, -0.01177, 0.03159, 0.02031, 0.02907, 0.03385, 0.01599
26, "13:41:31.468498", 0.01184, -0.01717, -0.01177, 0.03159, 0.01932, 0.03006, 0.03385, 0.01599
27, "13:41:31.468750", 0.00987, -0.01915, -0.00979, 0.03159, 0.02129, 0.02907, 0.03385, 0.01698
28, "13:41:31.468999", 0.01085, -0.01618, -0.00880, 0.03061, 0.02031, 0.03006, 0.03385, 0.01599
29, "13:41:31.469249", 0.01085, -0.01321, -0.01078, 0.03159, 0.02129, 0.03105, 0.03484, 0.01698
30, "13:41:31.469499", 0.00987, -0.01816, -0.01078, 0.03061, 0.02031, 0.02808, 0.03385, 0.01797
31, "13:41:31.469749", 0.01184, -0.01618, -0.00979, 0.03258, 0.02031, 0.03006, 0.03484, 0.01599
32, "13:41:31.469999", 0.01283, -0.01519, -0.01078, 0.03258, 0.02031, 0.02907, 0.03385, 0.01698
33, "13:41:31.470249", 0.01283, -0.01420, -0.00979, 0.03061, 0.02031, 0.02907, 0.03484, 0.01698
34, "13:41:31.470499", 0.01283, -0.01618, -0.00880, 0.03061, 0.02228, 0.02907, 0.03484, 0.01698
35, "13:41:31.470748", 0.01184, -0.01321, -0.00683, 0.03061, 0.02031, 0.02907, 0.03385, 0.01698
36, "13:41:31.470998", 0.01184, -0.01321, -0.00979, 0.03061, 0.02129, 0.02907, 0.03385, 0.01698
37, "13:41:31.471248", 0.01481, -0.01124, -0.00782, 0.03159, 0.02228, 0.02808, 0.03484, 0.01698
38, "13:41:31.471500", 0.01184, -0.01321, -0.00584, 0.03258, 0.02031, 0.03006, 0.03484, 0.01599
39, "13:41:31.471750", 0.01283, -0.01124, -0.00880, 0.03159, 0.02129, 0.03006, 0.03385, 0.01599
40, "13:41:31.472000", 0.01184, -0.01124, -0.00683, 0.03258, 0.02129, 0.02907, 0.03287, 0.01698
41, "13:41:31.472248", 0.01184, -0.01025, -0.00782, 0.03258, 0.02129, 0.02907, 0.03484, 0.01698
42, "13:41:31.472497", 0.01184, -0.01222, -0.00386, 0.03159, 0.02031, 0.03006, 0.03484, 0.01599
43, "13:41:31.472749", 0.01283, -0.00827, -0.00584, 0.03258, 0.02129, 0.03006, 0.03385, 0.01797
44, "13:41:31.472999", 0.01382, -0.00926, -0.00386, 0.03159, 0.02129, 0.02907, 0.03385, 0.01599
45, "13:41:31.473249", 0.01283, -0.01025, -0.00287, 0.03258, 0.02129, 0.03006, 0.03385, 0.01698
46, "13:41:31.473499", 0.01184, -0.00827, -0.00584, 0.03159, 0.02031, 0.03006, 0.03385, 0.01698
47, "13:41:31.473749", 0.01481, -0.00827, -0.00386, 0.03159, 0.02228, 0.02907, 0.03385, 0.01599
48, "13:41:31.473999", 0.01283, -0.01025, -0.00485, 0.03258, 0.02129, 0.02907, 0.03385, 0.01599
