DAQLog Data File v1.10
Device: LGR-5327
Serial No: 000001582675
Log Enable Time: 12.06.2025 13:37:14.000
Data Start Time: 12.06.2025 13:37:15.659
Trigger Time: 12.06.2025 13:37:15.909
Pre-Trigger Scan Count: 1000
Pre-Trigger Scan Rate(Hz): 4000
Post-Trigger Scan Count: 3000
Post-Trigger Scan Rate(Hz): 4000
Notes: 06.12.2025 Kantipark St. Gallen
8 feste Geophon-Positionen + 1 Trigger
Abstand wird während der Messung festgelegt
, , AI0Diff30V(Volts), AI1Diff30V(Volts), AI2Diff30V(Volts), AI3Diff30V(Volts), AI4Diff30V(Volts), AI5Diff30V(Volts), AI6Diff30V(Volts), AI7Diff30V(Volts)
Scan Number, Scan Time, , , , , , , , 
0, "13:37:15.658998", 0.02271, 0.00360, -0.01276, 0.02962, 0.01932, 0.02017, 0.01112, -0.00180
1, "13:37:15.659248", 0.02271, 0.00459, -0.01276, 0.03159, 0.01932, 0.02215, 0.01211, -0.00081
2, "13:37:15.659500", 0.02271, 0.00360, -0.01276, 0.03061, 0.02031, 0.02413, 0.01211, -0.00180
3, "13:37:15.659749", 0.02568, 0.00261, -0.01375, 0.02962, 0.02031, 0.02215, 0.01014, -0.00279
4, "13:37:15.659999", 0.02271, 0.00261, -0.01375, 0.03061, 0.01932, 0.02215, 0.01112, 0.00117
5, "13:37:15.660249", 0.02172, 0.00261, -0.01375, 0.03061, 0.02031, 0.02413, 0.01014, -0.00279
6, "13:37:15.660497", 0.02271, 0.00360, -0.01375, 0.03061, 0.02031, 0.02017, 0.01211, -0.00081
7, "13:37:15.660749", 0.02271, 0.00261, -0.01276, 0.03159, 0.02031, 0.02116, 0.00915, 0.00018
8, "13:37:15.660999", 0.02172, 0.00162, -0.01177, 0.03258, 0.01932, 0.02215, 0.01112, -0.00180
9, "13:37:15.661249", 0.02271, 0.00261, -0.01375, 0.03061, 0.02129, 0.02413, 0.01211, -0.00279
10, "13:37:15.661500", 0.02271, 0.00261, -0.01276, 0.03159, 0.02031, 0.02017, 0.01014, -0.00575
11, "13:37:15.661748", 0.02172, 0.00360, -0.01375, 0.03159, 0.01932, 0.02116, 0.01211, -0.00081
12, "13:37:15.661998", 0.02271, 0.00360, -0.01375, 0.03159, 0.01932, 0.02215, 0.01211, -0.00279
13, "13:37:15.662248", 0.02271, 0.00261, -0.01276, 0.03159, 0.01932, 0.02116, 0.01211, 0.00216
14, "13:37:15.662498", 0.02370, 0.00162, -0.01375, 0.03159, 0.01932, 0.02116, 0.01310, 0.00018
